,ID,Event_Type,Target,Product,Same_Angle,Inverted,Event_Time,System_Time
0,,SCANNER START,,,,,,1544738363.852
1,,SIGNAL,,,,,,1544738365.231
2,0,interval,,,,,1.136,1544738365.433
3,0,on,SINGLETON,05_chocolate_2.jpg,,0,1.599,1544738366.582
4,1,interval,,,,,3.068,1544738368.188
5,1,on,SINGLETON,02_chocolate_3.jpg,,0,1.600,1544738371.268
6,2,interval,,,,,1.790,1544738372.873
7,2,on,SINGLETON,06_chocolate_3.jpg,,0,1.599,1544738374.674
8,3,interval,,,,,6.560,1544738376.278
9,3,on,SINGLETON,01_chocolate_2.jpg,,0,1.600,1544738382.850
10,4,interval,,,,,4.016,1544738384.455
11,4,on,,04_chocolate_1.jpg,False,1,1.600,1544738388.482
12,4,image_interval,,,,,0.400,1544738390.089
13,4,on,00_chocolate_3.jpg,,False,0,1.600,1544738390.498
14,5,interval,,,,,3.733,1544738392.105
15,5,on,SINGLETON,09_chocolate_3.jpg,,0,1.600,1544738395.850
16,6,interval,,,,,9.998,1544738397.456
17,6,on,,04_chocolate_3.jpg,True,0,1.600,1544738407.465
18,6,image_interval,,,,,0.400,1544738409.072
19,6,on,00_chocolate_3.jpg,,True,0,1.599,1544738409.482
20,7,interval,,,,,8.090,1544738411.089
21,7,on,SINGLETON,08_chocolate_3.jpg,,0,1.601,1544738419.190
22,8,interval,,,,,1.082,1544738420.798
23,8,on,,09_chocolate_3.jpg,True,0,1.600,1544738421.890
24,8,image_interval,,,,,0.400,1544738423.496
25,8,on,00_chocolate_3.jpg,,True,0,1.600,1544738423.906
26,9,interval,,,,,8.897,1544738425.513
27,9,on,SINGLETON,05_chocolate_2.jpg,,0,1.600,1544738434.422
28,10,interval,,,,,1.450,1544738436.029
29,10,on,SINGLETON,08_detergent_1.jpg,,0,1.600,1544738437.491
30,11,interval,,,,,9.066,1544738439.097
31,11,on,SINGLETON,05_detergent_3.jpg,,0,1.601,1544738448.175
32,12,interval,,,,,8.198,1544738449.782
33,12,on,SINGLETON,05_detergent_3.jpg,,0,1.600,1544738457.992
34,13,interval,,,,,4.582,1544738459.597
35,13,on,,02_detergent_2.jpg,True,0,1.601,1544738464.190
36,13,image_interval,,,,,0.400,1544738465.797
37,13,on,00_detergent_2.jpg,,True,0,1.599,1544738466.207
38,14,interval,,,,,7.843,1544738467.812
39,14,on,SINGLETON,08_detergent_1.jpg,,0,1.599,1544738475.668
40,15,interval,,,,,6.134,1544738477.273
41,15,on,SINGLETON,01_detergent_3.jpg,,0,1.600,1544738483.420
42,16,interval,,,,,6.815,1544738485.026
43,16,on,SINGLETON,04_detergent_1.jpg,,0,1.600,1544738491.853
